ID_Patch,ID_Ativo,Responsável,Data_Aplicação,Resultado
PTC000001,ATV00632,Carlos,2025-02-11,Falha
PTC000002,ATV00317,Fernanda,2025-04-19,Sucesso
PTC000003,ATV00395,Fernanda,2025-05-17,Sucesso
PTC000004,ATV00047,Marina,2024-12-25,Falha
PTC000005,ATV00512,Fernanda,2025-01-29,Falha
PTC000006,ATV00141,João,2025-02-13,Sucesso
PTC000007,ATV00776,Carlos,2025-02-25,Sucesso
PTC000008,ATV00440,João,2025-04-14,Falha
PTC000009,ATV00206,Carlos,2025-05-22,Falha
PTC000010,ATV00493,Carlos,2025-04-22,Sucesso
PTC000011,ATV00511,Carlos,2024-12-10,Sucesso
PTC000012,ATV00009,Marina,2024-12-29,Falha
PTC000013,ATV00279,Marina,2025-04-24,Falha
PTC000014,ATV00905,Lucas,2025-04-09,Falha
PTC000015,ATV00457,Fernanda,2025-02-27,Falha
PTC000016,ATV00894,João,2025-03-12,Falha
PTC000017,ATV00455,João,2025-01-08,Falha
PTC000018,ATV00119,Marina,2024-11-25,Sucesso
PTC000019,ATV00166,Marina,2025-03-16,Sucesso
PTC000020,ATV00543,Fernanda,2025-03-25,Falha
PTC000021,ATV00328,Lucas,2024-12-10,Falha
PTC000022,ATV00583,João,2025-04-24,Sucesso
PTC000023,ATV00683,Carlos,2025-03-20,Sucesso
PTC000024,ATV00978,Marina,2024-12-06,Sucesso
PTC000025,ATV00954,Lucas,2025-01-06,Falha
PTC000026,ATV00312,Marina,2025-02-07,Falha
PTC000027,ATV00116,Carlos,2024-12-11,Sucesso
PTC000028,ATV00064,Fernanda,2024-12-27,Falha
PTC000029,ATV00092,Lucas,2025-02-27,Sucesso
PTC000030,ATV00818,Marina,2025-02-15,Falha
PTC000031,ATV00123,Carlos,2024-12-30,Falha
PTC000032,ATV00790,Lucas,2025-04-13,Sucesso
PTC000033,ATV00846,Carlos,2025-03-06,Falha
PTC000034,ATV00180,João,2025-01-28,Falha
PTC000035,ATV00303,Fernanda,2025-05-16,Sucesso
PTC000036,ATV00416,Fernanda,2025-03-20,Sucesso
PTC000037,ATV00068,João,2025-05-12,Sucesso
PTC000038,ATV00369,Marina,2025-02-28,Sucesso
PTC000039,ATV00953,Carlos,2024-12-28,Falha
PTC000040,ATV00801,João,2025-01-20,Falha
PTC000041,ATV00022,Lucas,2025-04-28,Falha
PTC000042,ATV00247,Fernanda,2025-01-07,Falha
PTC000043,ATV00091,Marina,2025-02-28,Falha
PTC000044,ATV00656,Lucas,2024-11-27,Sucesso
PTC000045,ATV00271,Lucas,2025-04-23,Sucesso
PTC000046,ATV00720,Marina,2025-03-18,Sucesso
PTC000047,ATV00326,Marina,2025-02-15,Sucesso
PTC000048,ATV00570,Fernanda,2025-01-18,Sucesso
PTC000049,ATV00031,João,2025-03-02,Falha
PTC000050,ATV00400,Lucas,2025-02-13,Sucesso
PTC000051,ATV01000,Lucas,2025-03-18,Sucesso
PTC000052,ATV00666,Fernanda,2025-01-07,Sucesso
PTC000053,ATV00217,Carlos,2024-12-24,Sucesso
PTC000054,ATV00517,Marina,2025-01-27,Falha
PTC000055,ATV00400,Lucas,2025-03-07,Falha
PTC000056,ATV00022,Lucas,2025-05-07,Sucesso
PTC000057,ATV00500,Fernanda,2025-03-11,Falha
PTC000058,ATV00930,Lucas,2024-11-26,Sucesso
PTC000059,ATV00258,Marina,2025-02-13,Sucesso
PTC000060,ATV00653,Lucas,2025-01-05,Sucesso
PTC000061,ATV00831,João,2025-01-23,Falha
PTC000062,ATV00904,Marina,2025-01-23,Sucesso
PTC000063,ATV00833,Marina,2025-02-09,Falha
PTC000064,ATV00501,Marina,2025-04-27,Falha
PTC000065,ATV00232,Fernanda,2025-02-22,Falha
PTC000066,ATV00147,Marina,2025-01-01,Falha
PTC000067,ATV00028,Fernanda,2025-05-07,Sucesso
PTC000068,ATV00294,Fernanda,2025-03-16,Sucesso
PTC000069,ATV00786,Marina,2025-03-11,Sucesso
PTC000070,ATV00423,Carlos,2025-05-09,Falha
PTC000071,ATV00391,Carlos,2024-12-28,Sucesso
PTC000072,ATV00544,Lucas,2025-04-26,Falha
PTC000073,ATV00182,Lucas,2025-03-23,Falha
PTC000074,ATV00119,João,2025-03-16,Sucesso
PTC000075,ATV00644,Fernanda,2024-12-25,Falha
PTC000076,ATV00592,Carlos,2024-12-20,Falha
PTC000077,ATV00662,Fernanda,2025-01-24,Falha
PTC000078,ATV00318,João,2025-01-06,Falha
PTC000079,ATV00607,Fernanda,2025-03-05,Sucesso
PTC000080,ATV00254,Marina,2025-01-31,Falha
PTC000081,ATV00003,Marina,2025-02-18,Sucesso
PTC000082,ATV00575,João,2025-01-24,Falha
PTC000083,ATV00676,João,2024-12-01,Falha
PTC000084,ATV00624,Lucas,2024-11-26,Falha
PTC000085,ATV00415,Lucas,2025-04-15,Falha
PTC000086,ATV00912,Marina,2025-05-06,Sucesso
PTC000087,ATV00106,João,2025-01-07,Falha
PTC000088,ATV00562,Lucas,2024-12-03,Sucesso
PTC000089,ATV00414,Carlos,2025-02-22,Falha
PTC000090,ATV00426,Lucas,2024-11-28,Falha
PTC000091,ATV00161,Lucas,2025-01-04,Sucesso
PTC000092,ATV00359,Fernanda,2024-11-24,Sucesso
PTC000093,ATV00353,João,2025-04-25,Sucesso
PTC000094,ATV00481,Fernanda,2025-01-29,Falha
PTC000095,ATV00608,Carlos,2025-01-26,Falha
PTC000096,ATV00866,Carlos,2025-03-17,Sucesso
PTC000097,ATV00712,Lucas,2025-05-05,Sucesso
PTC000098,ATV00883,Lucas,2025-02-27,Falha
PTC000099,ATV00989,João,2025-03-14,Falha
PTC000100,ATV00139,Carlos,2024-12-28,Sucesso
PTC000101,ATV00257,Carlos,2025-05-05,Falha
PTC000102,ATV00175,João,2025-03-25,Sucesso
PTC000103,ATV00457,João,2025-01-03,Falha
PTC000104,ATV00561,Marina,2024-12-11,Falha
PTC000105,ATV00737,Marina,2025-04-09,Sucesso
PTC000106,ATV00658,Lucas,2025-01-10,Sucesso
PTC000107,ATV00717,Lucas,2024-12-26,Falha
PTC000108,ATV00674,Marina,2025-01-30,Falha
PTC000109,ATV00558,João,2025-02-07,Sucesso
PTC000110,ATV00651,Marina,2024-12-27,Falha
PTC000111,ATV00109,Carlos,2024-12-12,Falha
PTC000112,ATV00071,Lucas,2024-12-06,Sucesso
PTC000113,ATV00437,Lucas,2025-04-07,Falha
PTC000114,ATV00403,Fernanda,2024-11-27,Falha
PTC000115,ATV00877,João,2025-02-03,Falha
PTC000116,ATV00202,João,2025-01-30,Sucesso
PTC000117,ATV00368,Marina,2025-05-16,Falha
PTC000118,ATV00282,Fernanda,2025-01-09,Sucesso
PTC000119,ATV00237,Carlos,2025-03-03,Sucesso
PTC000120,ATV00500,Fernanda,2025-02-01,Falha
PTC000121,ATV00643,Carlos,2025-04-14,Sucesso
PTC000122,ATV00276,Carlos,2024-11-30,Falha
PTC000123,ATV00651,Fernanda,2025-05-01,Falha
PTC000124,ATV00523,Carlos,2024-12-06,Sucesso
PTC000125,ATV00836,Carlos,2025-04-28,Sucesso
PTC000126,ATV00343,Carlos,2025-01-01,Sucesso
PTC000127,ATV00657,Marina,2025-05-01,Sucesso
PTC000128,ATV00571,Lucas,2025-03-01,Falha
PTC000129,ATV00368,Marina,2025-03-23,Sucesso
PTC000130,ATV00794,Fernanda,2025-04-02,Falha
PTC000131,ATV00737,Lucas,2025-03-29,Sucesso
PTC000132,ATV00327,João,2025-04-01,Sucesso
PTC000133,ATV00287,Fernanda,2025-03-03,Sucesso
PTC000134,ATV00621,Marina,2025-01-29,Sucesso
PTC000135,ATV00227,Marina,2024-12-04,Falha
PTC000136,ATV00627,Lucas,2025-02-19,Falha
PTC000137,ATV00489,Carlos,2025-04-27,Falha
PTC000138,ATV00574,Lucas,2025-03-23,Sucesso
PTC000139,ATV00644,João,2024-12-14,Falha
PTC000140,ATV00749,João,2025-04-02,Falha
PTC000141,ATV00791,Fernanda,2025-01-21,Sucesso
PTC000142,ATV00648,Carlos,2025-04-24,Falha
PTC000143,ATV00264,Fernanda,2025-05-16,Sucesso
PTC000144,ATV00469,Carlos,2025-05-14,Falha
PTC000145,ATV00609,Marina,2025-04-24,Sucesso
PTC000146,ATV00907,Marina,2025-05-03,Falha
PTC000147,ATV00757,Lucas,2024-11-23,Sucesso
PTC000148,ATV00153,Carlos,2025-02-06,Falha
PTC000149,ATV00657,Marina,2025-02-20,Falha
PTC000150,ATV00277,Lucas,2025-01-12,Sucesso
PTC000151,ATV00558,Fernanda,2025-03-10,Falha
PTC000152,ATV00825,Carlos,2025-02-04,Falha
PTC000153,ATV00948,Fernanda,2025-04-25,Falha
PTC000154,ATV00747,Fernanda,2025-04-08,Sucesso
PTC000155,ATV00106,Carlos,2025-03-13,Falha
PTC000156,ATV00645,Marina,2025-05-14,Sucesso
PTC000157,ATV00478,Fernanda,2025-02-05,Falha
PTC000158,ATV00273,Fernanda,2025-05-21,Sucesso
PTC000159,ATV00580,Fernanda,2025-03-04,Falha
PTC000160,ATV00298,Marina,2025-03-09,Falha
PTC000161,ATV00764,Fernanda,2025-04-23,Sucesso
PTC000162,ATV00863,Lucas,2025-04-12,Sucesso
PTC000163,ATV00163,João,2025-04-08,Sucesso
PTC000164,ATV00957,Marina,2025-04-02,Falha
PTC000165,ATV00059,Marina,2025-03-07,Falha
PTC000166,ATV00938,Lucas,2025-01-17,Sucesso
PTC000167,ATV00248,Lucas,2025-04-04,Sucesso
PTC000168,ATV00084,Fernanda,2025-04-26,Falha
PTC000169,ATV00572,João,2024-12-30,Sucesso
PTC000170,ATV00072,Carlos,2025-05-22,Falha
PTC000171,ATV00043,Fernanda,2025-03-28,Sucesso
PTC000172,ATV00184,Marina,2025-01-08,Sucesso
PTC000173,ATV00769,Fernanda,2025-04-28,Sucesso
PTC000174,ATV00471,João,2025-03-15,Falha
PTC000175,ATV00532,Fernanda,2025-05-03,Falha
PTC000176,ATV00181,Marina,2025-02-04,Sucesso
PTC000177,ATV00708,Lucas,2025-03-15,Falha
PTC000178,ATV00086,Carlos,2025-05-18,Sucesso
PTC000179,ATV00336,Carlos,2025-05-07,Sucesso
PTC000180,ATV00371,Lucas,2025-01-21,Sucesso
PTC000181,ATV00127,João,2025-02-08,Sucesso
PTC000182,ATV00889,Fernanda,2025-03-17,Sucesso
PTC000183,ATV00786,Marina,2025-02-05,Falha
PTC000184,ATV00135,Carlos,2025-03-10,Sucesso
PTC000185,ATV00134,Fernanda,2024-12-14,Falha
PTC000186,ATV00457,Marina,2025-03-17,Sucesso
PTC000187,ATV00824,Carlos,2024-12-09,Falha
PTC000188,ATV00328,Marina,2025-04-30,Falha
PTC000189,ATV00507,Lucas,2025-03-12,Falha
PTC000190,ATV00418,Carlos,2025-04-17,Sucesso
PTC000191,ATV00500,Marina,2025-02-11,Falha
PTC000192,ATV00245,João,2025-04-05,Sucesso
PTC000193,ATV00265,Fernanda,2025-01-15,Sucesso
PTC000194,ATV00951,Marina,2025-03-23,Sucesso
PTC000195,ATV00652,Lucas,2025-05-16,Falha
PTC000196,ATV00288,Marina,2025-01-14,Falha
PTC000197,ATV00196,Marina,2024-11-24,Falha
PTC000198,ATV00870,Fernanda,2025-05-05,Sucesso
PTC000199,ATV00855,Marina,2024-12-07,Sucesso
