ID_Vulnerabilidade,ID_Ativo,Severidade,Data_Detectada,Status_Correção
VUL000001,ATV00125,Alta,2024-12-10,Corrigida
VUL000002,ATV00723,Crítica,2025-03-11,Não Corrigida
VUL000003,ATV00979,Crítica,2025-04-14,Corrigida
VUL000004,ATV00097,Crítica,2025-05-06,Em Progresso
VUL000005,ATV00333,Alta,2025-01-03,Em Progresso
VUL000006,ATV00513,Média,2024-12-07,Corrigida
VUL000007,ATV00017,Crítica,2025-02-17,Não Corrigida
VUL000008,ATV00112,Alta,2025-04-16,Em Progresso
VUL000009,ATV00336,Crítica,2025-01-18,Corrigida
VUL000010,ATV00636,Média,2024-12-22,Corrigida
VUL000011,ATV00747,Baixa,2025-03-10,Não Corrigida
VUL000012,ATV00710,Baixa,2024-12-28,Corrigida
VUL000013,ATV00812,Baixa,2024-12-06,Não Corrigida
VUL000014,ATV00158,Baixa,2025-04-16,Em Progresso
VUL000015,ATV00491,Alta,2024-12-15,Corrigida
VUL000016,ATV00169,Média,2025-02-26,Corrigida
VUL000017,ATV00451,Alta,2025-04-30,Corrigida
VUL000018,ATV00138,Alta,2024-12-16,Em Progresso
VUL000019,ATV00746,Crítica,2024-12-19,Em Progresso
VUL000020,ATV00551,Alta,2025-03-13,Não Corrigida
VUL000021,ATV00872,Crítica,2025-01-30,Não Corrigida
VUL000022,ATV00605,Média,2024-11-25,Corrigida
VUL000023,ATV00494,Baixa,2025-05-06,Em Progresso
VUL000024,ATV00188,Alta,2025-04-23,Não Corrigida
VUL000025,ATV00106,Alta,2025-02-22,Corrigida
VUL000026,ATV00585,Alta,2025-01-11,Não Corrigida
VUL000027,ATV00327,Crítica,2025-04-28,Em Progresso
VUL000028,ATV00292,Média,2025-03-13,Em Progresso
VUL000029,ATV00469,Média,2025-01-24,Em Progresso
VUL000030,ATV00558,Baixa,2025-01-13,Não Corrigida
VUL000031,ATV00387,Média,2025-03-09,Corrigida
VUL000032,ATV00031,Alta,2024-11-27,Corrigida
VUL000033,ATV00287,Média,2024-12-26,Corrigida
VUL000034,ATV00674,Baixa,2025-04-29,Corrigida
VUL000035,ATV00086,Crítica,2025-02-03,Em Progresso
VUL000036,ATV00785,Crítica,2025-01-18,Não Corrigida
VUL000037,ATV00463,Baixa,2025-03-14,Corrigida
VUL000038,ATV00962,Crítica,2025-03-10,Corrigida
VUL000039,ATV00862,Alta,2024-11-29,Não Corrigida
VUL000040,ATV00393,Média,2024-12-12,Em Progresso
VUL000041,ATV00046,Baixa,2025-03-21,Corrigida
VUL000042,ATV00828,Baixa,2024-12-30,Em Progresso
VUL000043,ATV00995,Crítica,2024-12-22,Em Progresso
VUL000044,ATV00882,Crítica,2025-04-06,Corrigida
VUL000045,ATV00919,Média,2025-03-22,Corrigida
VUL000046,ATV00238,Alta,2024-12-17,Não Corrigida
VUL000047,ATV00300,Crítica,2025-03-23,Não Corrigida
VUL000048,ATV00995,Baixa,2025-05-04,Corrigida
VUL000049,ATV00627,Média,2025-03-15,Não Corrigida
VUL000050,ATV00197,Crítica,2025-04-07,Em Progresso
VUL000051,ATV00386,Alta,2024-12-18,Não Corrigida
VUL000052,ATV00385,Alta,2025-04-16,Corrigida
VUL000053,ATV00526,Média,2025-02-07,Corrigida
VUL000054,ATV00426,Baixa,2025-04-24,Corrigida
VUL000055,ATV00908,Crítica,2024-12-09,Corrigida
VUL000056,ATV00758,Crítica,2025-01-21,Não Corrigida
VUL000057,ATV00711,Alta,2025-01-29,Corrigida
VUL000058,ATV00846,Média,2024-12-10,Corrigida
VUL000059,ATV00069,Crítica,2025-03-20,Não Corrigida
VUL000060,ATV00066,Média,2024-12-20,Não Corrigida
VUL000061,ATV00805,Alta,2025-03-09,Em Progresso
VUL000062,ATV00573,Baixa,2025-01-05,Corrigida
VUL000063,ATV00713,Alta,2025-03-24,Em Progresso
VUL000064,ATV00882,Baixa,2025-03-31,Não Corrigida
VUL000065,ATV00138,Baixa,2025-01-02,Corrigida
VUL000066,ATV00632,Média,2025-01-26,Em Progresso
VUL000067,ATV00591,Alta,2025-04-21,Corrigida
VUL000068,ATV00695,Crítica,2025-01-11,Em Progresso
VUL000069,ATV00690,Média,2024-11-25,Corrigida
VUL000070,ATV00343,Alta,2025-03-12,Em Progresso
VUL000071,ATV00975,Alta,2025-01-04,Corrigida
VUL000072,ATV00125,Crítica,2025-04-04,Em Progresso
VUL000073,ATV00956,Média,2025-01-28,Corrigida
VUL000074,ATV00272,Baixa,2025-01-30,Corrigida
VUL000075,ATV00112,Média,2025-03-20,Não Corrigida
VUL000076,ATV00720,Alta,2025-01-22,Não Corrigida
VUL000077,ATV00710,Crítica,2024-12-04,Não Corrigida
VUL000078,ATV00464,Média,2025-01-12,Em Progresso
VUL000079,ATV00645,Média,2025-02-26,Em Progresso
VUL000080,ATV00897,Alta,2025-05-09,Não Corrigida
VUL000081,ATV00338,Média,2025-05-06,Em Progresso
VUL000082,ATV00525,Baixa,2025-01-11,Corrigida
VUL000083,ATV00359,Média,2025-03-17,Corrigida
VUL000084,ATV00088,Crítica,2025-02-19,Não Corrigida
VUL000085,ATV00092,Alta,2025-04-10,Não Corrigida
VUL000086,ATV00075,Baixa,2025-03-13,Em Progresso
VUL000087,ATV00942,Alta,2024-12-31,Em Progresso
VUL000088,ATV00735,Crítica,2025-04-12,Corrigida
VUL000089,ATV00974,Crítica,2025-02-17,Não Corrigida
VUL000090,ATV00440,Crítica,2025-05-07,Corrigida
VUL000091,ATV00919,Média,2025-02-06,Não Corrigida
VUL000092,ATV00171,Crítica,2024-11-28,Corrigida
VUL000093,ATV00376,Média,2025-02-17,Em Progresso
VUL000094,ATV00542,Média,2025-04-20,Em Progresso
VUL000095,ATV00018,Média,2025-02-22,Corrigida
VUL000096,ATV00010,Alta,2025-02-27,Em Progresso
VUL000097,ATV00988,Alta,2025-04-30,Não Corrigida
VUL000098,ATV00049,Baixa,2024-12-20,Em Progresso
VUL000099,ATV00416,Crítica,2025-05-12,Em Progresso
VUL000100,ATV00974,Média,2025-03-22,Em Progresso
VUL000101,ATV00815,Baixa,2025-04-30,Corrigida
VUL000102,ATV00098,Alta,2025-05-06,Em Progresso
VUL000103,ATV00400,Alta,2025-01-27,Em Progresso
VUL000104,ATV00361,Média,2024-12-15,Corrigida
VUL000105,ATV00965,Crítica,2024-12-13,Corrigida
VUL000106,ATV00534,Baixa,2025-01-21,Não Corrigida
VUL000107,ATV00937,Média,2025-02-20,Corrigida
VUL000108,ATV00978,Baixa,2025-01-13,Não Corrigida
VUL000109,ATV00021,Baixa,2024-12-30,Em Progresso
VUL000110,ATV00764,Crítica,2024-11-29,Em Progresso
VUL000111,ATV00796,Crítica,2025-05-08,Não Corrigida
VUL000112,ATV00563,Média,2025-01-28,Não Corrigida
VUL000113,ATV00506,Alta,2025-02-03,Não Corrigida
VUL000114,ATV00121,Crítica,2025-02-17,Em Progresso
VUL000115,ATV00565,Baixa,2025-03-11,Não Corrigida
VUL000116,ATV00960,Média,2025-02-18,Corrigida
VUL000117,ATV00409,Média,2024-11-28,Não Corrigida
VUL000118,ATV00582,Crítica,2025-03-30,Não Corrigida
VUL000119,ATV00017,Média,2025-03-22,Em Progresso
VUL000120,ATV00068,Média,2025-01-30,Não Corrigida
VUL000121,ATV00657,Baixa,2025-04-02,Corrigida
VUL000122,ATV00055,Alta,2025-02-28,Não Corrigida
VUL000123,ATV00116,Média,2025-04-24,Corrigida
VUL000124,ATV00281,Baixa,2025-05-05,Corrigida
VUL000125,ATV00776,Baixa,2024-12-25,Corrigida
VUL000126,ATV00105,Baixa,2024-12-08,Corrigida
VUL000127,ATV00850,Crítica,2024-12-17,Não Corrigida
VUL000128,ATV00292,Crítica,2025-01-31,Não Corrigida
VUL000129,ATV00340,Baixa,2025-03-27,Em Progresso
VUL000130,ATV00570,Média,2024-12-04,Em Progresso
VUL000131,ATV00990,Crítica,2025-02-19,Em Progresso
VUL000132,ATV00521,Alta,2025-03-13,Não Corrigida
VUL000133,ATV00256,Alta,2025-05-03,Em Progresso
VUL000134,ATV00616,Alta,2025-01-01,Corrigida
VUL000135,ATV00540,Crítica,2025-04-07,Corrigida
VUL000136,ATV00903,Crítica,2025-02-07,Corrigida
VUL000137,ATV00019,Crítica,2025-05-08,Não Corrigida
VUL000138,ATV00873,Alta,2025-01-08,Corrigida
VUL000139,ATV00415,Crítica,2025-03-12,Não Corrigida
VUL000140,ATV00897,Crítica,2025-04-03,Corrigida
VUL000141,ATV00622,Média,2025-01-25,Corrigida
VUL000142,ATV00210,Média,2025-03-02,Não Corrigida
VUL000143,ATV00353,Crítica,2025-02-18,Em Progresso
VUL000144,ATV00794,Média,2025-05-11,Em Progresso
VUL000145,ATV00188,Baixa,2025-01-01,Em Progresso
VUL000146,ATV00847,Média,2024-11-29,Não Corrigida
VUL000147,ATV00001,Média,2025-01-11,Corrigida
VUL000148,ATV00712,Crítica,2025-01-06,Em Progresso
VUL000149,ATV00034,Alta,2024-11-27,Em Progresso
VUL000150,ATV00811,Crítica,2025-04-30,Corrigida
VUL000151,ATV00695,Crítica,2025-03-24,Não Corrigida
VUL000152,ATV00328,Alta,2025-01-29,Em Progresso
VUL000153,ATV00545,Média,2025-03-25,Em Progresso
VUL000154,ATV00563,Baixa,2025-03-15,Não Corrigida
VUL000155,ATV00895,Crítica,2025-01-24,Em Progresso
VUL000156,ATV00485,Alta,2025-03-08,Não Corrigida
VUL000157,ATV00643,Alta,2025-02-03,Corrigida
VUL000158,ATV00089,Crítica,2025-04-21,Em Progresso
VUL000159,ATV00145,Baixa,2024-12-14,Em Progresso
VUL000160,ATV00029,Alta,2024-12-06,Corrigida
